美国,20.54
中国,13.61
日本,4.97
德国,3.95
英国,2.86
法国,2.78
印度,2.72
意大利,2.08
巴西,1.87
加拿大,1.71
俄罗斯,1.66
韩国,1.62
澳大利亚,1.43
西班牙,1.42
墨西哥,1.22
